tweet_id	reply_id
1039097049457672192	1039434844311179265|
1039098862290587649	1039352383787155456|
1039111740301004800	1039265940121112576|
1039112384080760832	1039751984834928641|
1039112925242261504	1040647234193244160|
1039115242465374208	1039293583969288192|
1039118778389458945	1039404783642136576|
1039124959631745024	1039326509461393408|
1039127830745866240	1039869598810562560|
1039128957738786818	1039415409823248385|
1039129791583199238	1039772243570708480|
1039131042685300736	1039357166862327808|
1039131625743732736	1040310434228850693|
1039132892570562560	1039597076827516929|
1039135147415793664	1039245556365676546|
1039140112771121152	1039307216673800193|
1039143002587975680	1039315629545807874|
1039145078512672768	1039359340648517632|
1039146605352341505	1039280161055825920|
1039146782603833345	1039246278100639744|
1039147395429347328	1039319335347646466|
1039148246420127744	1039420569949745152|
1039150477391351814	1039913643213811718|
1039152064419508225	1039338190639783941|
1039156101051244546	1039256923147849729|
1039157443350200324	1039235615752155138|
1039159168194830341	1039266446466080768|
1039159496441061376	1039278780571955201|
1039160312757465089	1039515106126614529|
1039160844762808320	1039725009281982465|
1039162102471159815	1039515852205252613|
1039162221492928513	1039264628575035392|
1039162973070270464	1039391095447334913|
1039165700328308736	1040006358203027458|
1039166832496832513	1039283487990312960|
1039167271514583040	1039288083173306370|
1039169746556649472	1039633334207488007|
1039170670192746503	1039532698308673537|
1039170880830668800	1039250221476208640|
1039171548274417666	1039410938049437696|
1039171794266152960	1039355435344486401|
1039172891038822401	1039243095374749698|
1039173773717643266	1039237493667913728|
1039174866866397184	1040021631475900416|
1039176277159231489	1039492813862232065|
1039176650993426432	1040017413008502784|
1039177032515694592	1039254161450303488|
1039178533250244608	1039481528294596613|
1039179292503097345	1039349715576532992|
1039181768950276096	1039361789970984962|
1039181820947046401	1039306532632944640|
1039182291376001025	1039261367809855490|
1039183558093365249	1039296744855465984|
1039183969378435074	1039647810377932800|
1039186009093636097	1039339010668224513|
1039186542978387973	1039623564373250049|
1039186687535009792	1039493354025897985|
1039186741733806080	1039254759281229831|
1039187346028195840	1039236754396639232|
1039193645801525251	1039530662020042757|
1039194241392508930	1040020579225661440|
1039195170162569218	1039386214099574785|
1039197434147164160	1039286633261162496|
1039198464213704705	1039904140166656001|
1039200661026557952	1039705332006699011|
1039200958037811201	1039286475194617856|
1039201945712394241	1039255775334543361|
1039203148328579072	1039235920396922881|
1039203792003067905	1039365983570280449|
1039204405340504064	1039317317560098817|
1039208836547203072	1039453312117100544|
1039209024984637441	1039534259944546307|
1039209396083904512	1039288886479015936|
1039210555259674625	1039292589520891904|
1039210721941311490	1039250760452788225|
1039211173743390720	1039407947615494144|
